province;section;town;name;address;borough;startBoard;endBoard
2;1;16;ESCUELA EP N°8/ES N°9;CHICLANA 639;155;5;10
2;1;16;EES N°6;AV.INT.JORGE VARELA 751;155;11;22
2;1;16;ESCUELA EP N°16/ES N°26;25 DE MAYO 1290;155;23;32
2;1;16;ESCUELA EP N°2/ES N°22;PADRE ROZA 1018;155;33;39
2;1;16;UNIVERSIDAD TECNOLOG.NACIONAL;SAN MARTIN 1171;155;1;4
2;1;16;COLEGIO SAN ROQUE;JEAN JAURES 1174;155;40;46
2;1;16;ESCUELA EP N°19/EES N°10;BIDEGAIN Y ZARATE N°179;155;47;56
2;1;16;ESCUELA ES N°2;VIAMONTE 875;155A;57;64
2;1;16;INST.SUP.FORMAC.DOC.Y TEC.N°15;DELLEPIANE 352;155A;65;72
2;1;16;ESCUELA EP N°5/EES N°25;SIVORI 792;155A;73;79
2;1;16;ESCUELA EP N°15/ES N°12;ARENALES 787;155A;80;86
2;1;16;ESCUELA EP N°7/ES N°8;ESTRADA 558;155A;87;98
2;1;16;ESCUELA EP N°23/ES N°28;ARENALES 1202;155A;99;105
2;1;16;ESCUELA EP N°10;ZAVALIA 1657;156;106;115
2;1;16;ESCUELA EP N°29/ES N°14 ANEXO;GIOBELLINI 711;156;116;121
2;1;16;ESCUELA EP N°12/ES N°15;JUAN NARDO 425;156;122;127
2;1;16;ESCUELA EP N°20/ES N°14;SAN JUAN 185;156;128;132
2;1;16;ESCUELA ES N°3;VIALE 15;156;133;142
2;1;16;ESCUELA DANTE ALIGHIERI;LUIS COSTA Y BALCARCE S/N°;156;143;148
2;1;16;ESCUELA EP N°17/ES N°17;BARLETTA 2190;156A;155;161
2;1;16;ESCUELA EP N°22/ES N°21;AGUIAR 110;156A;162;174
2;1;16;ESCUELA EP N°27/ES N°9;SAAVEDRA 1512;156A;175;181
2;1;16;ESCUELA EP N°18/ES N°11;HARRICHABALET 574;156A;182;187
2;1;16;ESCUELA ES N°16;RUTA NAC.9 KM.70,4;156A;188;192
2;1;16;COLEGIO SANTO TOMAS DE AQUINO;MATHEU 975;156A;149;154
2;1;16;ESCUELA EP N°3/ES N°27;SAN MARTIN 2952;156B;193;200
2;1;16;ESCUELA EP N°14/ES N°20;GRANADEROS 938;156B;201;208
2;1;16;ESCUELA ES N°13;PERITO MORENO 1241;156B;216;221
2;1;16;ESCUELA EP N°6/ES N°12;RUTA PCIAL.6 KM.12;156B;222;224
2;1;16;ESCUELA ES N°1;SANTIAGO DEL ESTERO 129;156B;209;215
2;1;89;ESCUELA EP N°1;RIVADAVIA 602;768;149;153
2;1;89;INST. ALMAFUERTE/N.S.DE FATIMA;H.YRIGOYEN 890;768;17;28
2;1;89;ESCUELA EDUC.ESPECIAL N°501;13 310 Y CHACABUCO;768;29;36
2;1;89;ESCUELA EP N°26/ES N°19;BELGRANO N°78;768;37;52
2;1;89;ESCUELA ES N°8;PELAGIO LUNA 1201;768;53;66
2;1;89;ESCUELA EP N°18;SANGUINETTI 521;768;9;16
2;1;89;ESCUELA EP N°4;FRAGATA LA ARGENTINA 1717;768;79;88
2;1;89;ESCUELA EP N°6/ESB N°18;EL HORNERO 962;768;89;93
2;1;89;ESCUELA EST N°1;TUCUMAN 854;768;94;99
